,disability,stayed_in_emergency_shelter,minority,hospitalized_due_to_malnutrition,marital_status,Gender,num_shelters_year,years_not_in_residence,Age,num_times_relocated_month,days_since_hot_meal,num_dependents,avg_meal_per_day
0,yes,no,yes,no,single,other,4,10,45,7,392,3,1
1,no,yes,yes,no,married,female,1,8,30,9,181,2,1
2,no,yes,no,yes,married,other,7,6,45,4,65,0,1
3,yes,no,yes,no,single,female,10,1,47,4,474,3,1
4,yes,yes,yes,no,married,female,10,4,48,17,431,2,0
5,no,no,no,no,married,female,8,3,47,6,591,3,1
6,no,no,no,no,single,other,5,14,23,12,55,1,1
7,no,yes,no,yes,single,other,4,5,57,7,74,0,0
8,yes,yes,no,yes,single,male,3,8,27,9,443,0,0
9,yes,yes,yes,yes,married,female,8,9,22,18,250,3,1
10,no,no,no,no,single,female,9,9,33,19,221,1,1
11,no,yes,no,no,married,other,7,10,46,10,401,0,1
12,yes,no,yes,no,single,other,4,12,27,17,472,3,1
13,yes,no,no,no,single,other,9,9,56,10,434,3,1
14,no,no,yes,no,married,male,4,4,43,5,265,0,1
15,yes,yes,no,no,single,female,7,14,43,15,228,3,0
16,no,yes,yes,no,married,male,9,13,65,5,32,3,0
17,yes,yes,no,yes,single,male,5,15,27,10,521,2,0
18,no,yes,no,no,married,other,4,10,23,8,220,2,1
19,no,no,no,yes,married,other,1,3,49,10,578,2,0
20,no,yes,yes,no,single,male,6,4,21,18,494,3,1
21,no,yes,yes,yes,married,male,9,3,37,13,416,3,1
22,no,yes,no,no,single,male,7,13,50,17,215,1,1
23,no,yes,no,no,single,female,1,2,51,10,123,1,0
24,yes,no,yes,no,married,other,2,4,21,12,564,0,0
25,no,yes,yes,yes,single,male,10,2,56,17,373,3,1
26,no,yes,no,yes,married,other,4,9,25,14,369,3,0
27,yes,no,yes,no,married,female,3,3,61,16,367,2,0
28,no,yes,no,yes,married,other,9,7,24,5,30,1,1
29,yes,no,no,no,married,other,2,12,24,11,451,0,1
30,no,no,no,yes,single,male,9,10,44,14,220,0,1
31,no,yes,yes,yes,married,female,9,2,63,20,289,1,0
32,yes,yes,no,no,single,male,9,1,43,10,432,3,1
